Record_ID,Country,Region,Device_Category,Device_Subcategory,Product_Name,Manufacturer,SKU_Code,Launch_Year,Market_Segment,Regulatory_Status,Units_Sold_2022,Units_Sold_2023,Units_Sold_2024,ASP_USD_2022,ASP_USD_2023,ASP_USD_2024,Revenue_2022_USD,Revenue_2023_USD,Revenue_2024_USD,YoY_Growth_2023,YoY_Growth_2024,CAGR_2022_2024,Market_Share_Pct,Competitor_Rank,Clinical_Trials,Patent_Status,Reimbursement_Coverage,Survey_Satisfaction_Score,Data_Quality_Flag
MD-0001,Germany,Europe,Cardiovascular,Heart Valves,STRY Heart Pro 674,Stryker,SKU-CAR-4657,2012,Hospital,Conditional Approval,6197,6914,5975,1450.74,1444.35,1496.67,8990235.78,9986235.9,8942603.25,0.115701146,-0.135811397,-0.01807525,5.37,14,3,Expired,Pending,3.9,Clean
MD-0002,Japan,Asia Pacific,Ophthalmology,OCT Devices,EDWA OCT Pro 847,Edwards Lifesciences,SKU-OPH-5552,2012,Ambulatory Surgery Center,PMDA Approved,7198,6418,5734,12720.04,13183.17,13958.13,91558847.92,84609585.06,80035917.42,-0.108363434,-0.106575257,-0.107469794,5.63,11,6,Licensed,Full,3.2,Clean
MD-0003,France,Europe,Diabetes Care,Insulin Pumps,DEPU Insulin Pro 266,DePuy Synthes,SKU-DIA-2139,2010,Ambulatory Surgery Center,PMDA Approved,5729,7074,8771,5732.89,5846.83,6207.88,32843726.81,41360475.42,54449315.48,0.234770466,0.239892564,0.237328865,12.78,11,3,Filed,Unknown,4.3,Clean
MD-0004,Australia,Asia Pacific,Ophthalmology,Laser Systems,GE H Laser Pro 894,GE Healthcare,SKU-OPH-5010,2012,Home Care,Under Review,18191,23562,26813,8376.4,8755.91,9305.03,152375092.4,206306751.4,249495769.4,0.295255896,0.137976403,0.214071927,7.52,2,0,Active,Partial,4.6,Clean
MD-0005,Australia,Asia Pacific,Ophthalmology,Tonometers,STRY Tonometers Pro 697,Stryker,SKU-OPH-9179,2016,Home Care,CE Marked,17859,16302,19321,8107.71,8530.7,8676.81,144795592.9,139067471.4,167644646.0,-0.087182933,0.185192001,0.040126668,2.92,8,3,Licensed,Unknown,5.0,Clean
MD-0006,USA,North America,Wound Care,Negative Pressure Devices,BOST Negative Pro 111,Boston Scientific,SKU-WOU-3621,2022,Home Care,Conditional Approval,4663,4770,5333,7047.35,7030.83,7247.77,32861793.05,33537059.1,38652357.41,0.022946601,0.11802935,0.069431776,2.45,7,12,Active,Unknown,4.3,Clean
MD-0007,Brazil,Latin America,Cardiovascular,Heart Valves,GE H Heart Pro 643,GE Healthcare,SKU-CAR-3927,2018,Hospital,PMDA Approved,42374,45698,42933,5640.01,5571.03,5988.22,238989783.7,254584928.9,257092249.3,0.078444329,-0.06050593,0.006574414,16.76,15,7,Active,Unknown,3.0,Clean
MD-0008,China,Asia Pacific,Cardiovascular,Stents,INSU Stents Pro 993,Insulet Corp,SKU-CAR-2290,2011,Home Care,FDA Approved,35411,42302,38400,7155.47,7373.56,7367.34,253382348.2,311916335.1,282905856.0,0.194600548,-0.092241502,0.041349509,12.57,12,8,Licensed,Partial,4.5,Clean
MD-0009,India,Asia Pacific,Ophthalmology,Tonometers,SIEM Tonometers Pro 824,Siemens Healthineers,SKU-OPH-9479,2017,Hospital,CE Marked,15225,13379,11498,8331.13,8620.46,8368.66,126841454.3,115333134.3,96222852.68,-0.121247947,-0.140593467,-0.130974537,15.54,2,1,Active,Partial,4.8,Clean
MD-0010,China,Asia Pacific,Orthopaedics,Trauma Plates,STRY Trauma Pro 462,Stryker,SKU-ORT-9834,2012,Long-Term Care,Conditional Approval,31476,30196,32093,6135.55,6015.14,6270.71,193122571.8,181633167.4,201245896.0,-0.040665904,0.06282289,0.009753552,1.45,11,7,Licensed,Pending,4.7,Clean
MD-0011,USA,North America,Neurology,Neurostents,INTU Neurostents Pro 553,Intuitive Surgical,SKU-NEU-2790,2013,Ambulatory Surgery Center,CE Marked,35646,37495,38989,4214.25,4203.62,4504.43,150221155.5,157614731.9,175623221.3,0.051871178,0.039845313,0.04584096,15.13,2,10,Active,Full,5.0,Clean
MD-0012,Japan,Asia Pacific,Neurology,Spinal Cord Stimulators,SIEM Spinal Pro 533,Siemens Healthineers,SKU-NEU-4502,2023,Home Care,FDA Approved,11289,11520,14899,4014.79,4240.61,4325.64,45322964.31,48851827.2,64447710.36,0.020462397,0.293315972,0.148816921,17.45,10,3,Licensed,Partial,3.6,Clean
MD-0013,USA,North America,Ophthalmology,Tonometers,MEDT Tonometers Pro 791,Medtronic,SKU-OPH-1821,2019,Home Care,Conditional Approval,35307,32512,41691,1247.67,1235.74,1279.55,44051484.69,40176378.88,53345719.05,-0.079162772,0.282326526,0.08665266,10.47,10,1,Expired,Pending,4.9,Clean
MD-0014,USA,North America,Diabetes Care,CGM Sensors,BECT CGM Pro 423,Becton Dickinson,SKU-DIA-9565,2015,Outpatient Clinic,CE Marked,44391,52038,49821,5967.0,6228.87,6247.55,264881097.0,324137937.1,311259188.6,0.172264648,-0.042603482,0.059397042,10.35,2,7,Active,Full,4.2,Clean
MD-0015,Canada,North America,Diagnostics,Ultrasound,BOST Ultrasound Pro 769,Boston Scientific,SKU-DIA-6718,2011,Ambulatory Surgery Center,PMDA Approved,19176,17660,21636,10567.92,10961.94,11823.5,202650433.9,193587860.4,255813246.0,-0.079057155,0.225141563,0.062207775,15.87,5,10,Active,Unknown,3.2,Clean
MD-0016,Germany,Europe,Ophthalmology,Laser Systems,ZIMM Laser Pro 152,Zimmer Biomet,SKU-OPH-5616,2019,Ambulatory Surgery Center,PMDA Approved,13842,16048,19800,7605.87,7587.79,8118.16,105280452.5,121768853.9,160739568.0,0.159370033,0.233798604,0.196005489,6.34,3,4,Active,Pending,3.1,Clean
MD-0017,Japan,Asia Pacific,Ophthalmology,OCT Devices,GE H OCT Pro 665,GE Healthcare,SKU-OPH-8007,2018,Hospital,FDA Approved,5431,6926,8040,2278.36,2219.04,2242.59,12373773.16,15369071.04,18030423.6,0.275271589,0.1608432,0.216712929,6.88,15,2,Expired,Pending,3.1,Clean
MD-0018,France,Europe,Diagnostics,CT Scanners,SMIT CT Pro 281,Smith+Nephew,SKU-DIA-2684,2015,Long-Term Care,Under Review,41175,48885,61917,3589.22,3545.7,3751.31,147786133.5,173331544.5,232269861.3,0.187249545,0.266584842,0.226275775,6.31,15,2,Licensed,Full,4.5,Review
MD-0019,China,Asia Pacific,Orthopaedics,Hip Implants,INTU Hip Pro 328,Intuitive Surgical,SKU-ORT-2771,2016,Hospital,Under Review,15077,14169,17899,5277.39,5595.4,5963.83,79567209.03,79281222.6,106746593.2,-0.060224183,0.263250759,0.089574465,15.63,13,6,Active,Partial,3.7,Clean
